age,annual_income,credit_score,years_customer,prior_claims,region,high_risk
65,47731.64,850,4,1,0,0
30,20523.41,652,13,1,0,0
50,74146.46,759,0,1,1,0
29,30289.1,824,5,1,1,0
51,38725.54,733,7,0,1,0
44,44062.32,626,10,1,0,0
38,49993.26,577,11,1,0,0
39,41281.65,739,15,0,0,0
32,47397.01,811,8,0,1,0
45,47580.88,723,4,0,0,0
34,39202.06,778,7,0,2,0
25,33303.0,850,6,0,0,0
24,84182.05,746,10,0,2,1
42,17116.48,591,2,0,2,0
58,44229.29,684,7,0,1,0
41,38775.75,789,16,2,1,0
38,60439.35,660,8,0,0,0
43,23691.07,800,2,0,0,0
55,38181.54,674,6,2,1,0
42,46575.04,706,0,0,0,0
35,83703.56,651,7,0,1,0
53,57877.99,692,16,0,0,0
45,27126.22,696,2,0,0,0
58,38417.24,551,0,1,0,1
42,76345.6,644,4,0,2,0
25,26892.76,581,12,2,1,1
23,47130.61,647,16,1,1,0
59,48797.76,616,10,0,1,0
60,40421.15,760,1,0,1,0
37,188692.86,761,7,0,0,0
35,39880.16,724,16,0,2,0
57,61382.65,578,6,2,0,0
26,33417.98,672,8,0,1,0
29,63823.32,572,9,0,1,1
47,75765.16,668,0,0,2,0
35,36534.71,731,12,1,1,0
39,47698.21,759,12,1,1,0
38,31330.9,717,0,1,0,0
44,27661.53,780,1,0,0,0
56,82322.33,700,3,0,1,0
41,37160.42,661,11,1,1,0
47,14664.63,749,4,1,0,0
18,118501.17,752,10,0,0,0
39,32825.22,638,7,1,1,0
29,43339.23,710,8,2,0,0
25,111352.18,656,10,1,0,0
29,45666.9,519,9,2,1,1
35,45176.47,715,7,1,0,0
50,26526.87,576,9,0,2,1
24,21646.16,706,9,0,1,0
40,45107.64,557,6,0,0,0
34,58771.06,622,5,0,0,0
36,57111.61,645,17,1,0,0
52,38536.82,776,5,1,2,0
46,49519.85,637,14,2,0,1
56,19562.99,594,4,1,1,0
38,61702.73,709,12,2,1,0
31,53140.94,662,16,0,0,0
37,131508.98,743,6,2,0,0
42,49204.47,599,4,2,0,0
42,30597.25,696,5,0,1,0
26,47793.19,850,7,0,2,0
41,41610.18,660,9,0,2,0
42,60922.26,694,7,0,0,0
70,49684.39,547,5,2,1,1
62,26108.77,611,17,1,1,0
29,21636.31,716,6,1,2,0
36,55907.52,653,4,1,1,0
22,97885.85,729,12,1,0,0
32,51004.74,713,12,0,0,0
43,73618.28,574,15,1,2,1
54,81340.93,761,17,0,1,0
31,56016.18,580,9,0,0,0
32,32622.39,618,6,2,2,0
18,54049.42,698,0,2,1,0
38,89638.16,805,3,1,0,0
27,63891.73,599,9,1,0,1
33,71262.3,691,2,2,0,0
29,38899.12,692,0,1,1,0
38,44303.68,732,8,0,1,1
18,46195.44,774,11,4,2,0
22,47778.5,647,6,0,0,0
65,87902.12,760,12,2,0,0
24,15159.96,786,11,0,0,0
26,49775.05,822,13,1,0,0
62,47110.53,720,18,1,1,0
74,24692.37,692,21,0,1,1
25,68588.74,642,11,0,2,0
35,34123.78,563,5,2,1,1
44,41006.41,657,8,1,0,1
60,123548.73,688,15,0,0,0
28,81225.69,671,3,1,1,0
37,65332.41,727,15,0,1,0
49,59301.42,563,7,1,0,0
45,45146.14,665,9,1,2,0
35,133210.87,839,3,0,2,0
38,73209.74,759,1,0,1,0
23,33699.05,729,6,0,0,0
37,24341.76,711,14,1,0,0
36,65083.02,650,4,1,1,0
42,47670.38,539,16,0,0,0
33,23993.32,716,5,1,0,0
45,60736.07,484,2,0,1,1
52,42851.09,653,9,1,0,0
41,63916.48,679,11,0,0,0
44,61136.85,644,8,1,0,0
40,36165.76,850,8,1,0,0
40,67266.82,825,16,1,0,0
31,38217.45,762,8,0,1,1
43,39480.38,605,5,0,0,0
38,37566.36,833,2,1,0,0
65,86291.57,729,14,1,0,0
58,42604.44,604,5,3,0,1
44,97364.95,682,6,1,0,1
30,119580.19,756,13,0,0,0
26,33882.04,632,18,1,1,0
54,11378.74,691,9,1,2,1
43,82640.47,705,7,1,0,0
45,41316.37,591,7,0,0,1
19,31789.99,658,5,0,1,0
51,36520.94,597,6,1,1,1
45,39838.66,749,6,4,0,0
26,93769.65,607,12,1,2,0
34,53101.24,703,7,0,0,1
43,93134.44,568,14,0,2,1
40,62762.31,589,7,0,2,0
36,41998.31,585,6,0,2,0
38,40328.81,656,14,0,0,0
36,64913.08,694,8,1,0,1
41,73881.14,709,7,3,0,0
57,80692.13,538,8,1,1,1
18,43011.84,666,15,0,0,0
37,53508.88,619,9,0,0,1
42,65645.23,722,14,0,0,0
43,40457.91,658,6,0,0,1
35,27792.74,673,13,0,1,0
18,32756.75,620,9,1,2,1
43,43455.05,817,12,1,0,0
60,68261.66,577,12,1,0,1
21,91994.93,648,3,2,1,1
50,24883.9,688,8,1,0,0
36,36363.74,659,12,1,0,0
39,40989.4,618,13,0,0,0
27,72937.52,535,14,0,0,0
35,37644.6,624,8,2,0,1
55,39542.6,603,15,0,1,0
46,24197.48,814,4,0,2,0
60,62423.91,850,0,0,2,1
54,45220.26,675,6,0,1,0
45,35347.31,567,13,0,0,0
60,43055.42,739,2,0,2,0
45,86120.07,601,0,1,1,0
49,29660.06,636,0,0,1,1
36,32182.25,629,11,3,0,1
40,91686.11,639,0,0,1,0
31,50913.7,651,10,1,1,0
51,68519.73,574,6,0,1,1
25,59926.61,623,4,2,0,0
49,48162.34,761,3,1,0,0
37,41185.87,677,9,0,1,0
54,74293.52,690,4,1,0,1
49,87655.38,501,7,2,0,1
61,84296.38,755,10,1,0,0
48,27099.33,625,11,2,1,0
21,94132.2,769,12,2,0,0
39,40987.91,692,8,1,0,1
25,33606.85,635,2,0,2,0
33,45041.35,545,10,0,0,0
58,74277.56,850,11,0,0,0
47,64230.41,744,7,2,0,0
31,43144.35,749,6,0,1,0
27,74520.75,825,20,2,0,0
40,52571.55,697,1,0,0,0
25,36809.61,788,10,2,0,1
31,34405.87,641,13,2,1,0
43,60181.33,739,6,0,1,1
53,47039.41,629,7,1,0,1
47,24642.98,639,5,1,1,0
18,74875.41,687,8,0,1,0
43,38555.83,578,12,0,1,0
40,108668.78,706,7,1,0,0
44,24306.64,655,23,0,2,0
59,44785.77,520,5,0,1,0
18,34544.76,643,14,0,1,0
32,30100.25,652,10,1,0,1
47,38430.42,748,8,0,0,0
21,118810.35,702,15,0,1,0
57,52663.88,795,0,0,1,0
44,32996.14,721,10,0,0,0
50,19647.12,635,4,1,1,0
33,20729.62,675,5,0,0,0
49,37487.71,652,5,0,1,0
52,35708.93,719,3,0,0,0
42,43825.65,684,0,1,0,0
42,15739.17,629,9,2,0,0
43,46824.38,680,7,0,0,0
29,81950.02,716,6,2,1,0
38,110350.91,599,11,1,0,0
38,19011.07,705,10,0,0,0
44,32836.75,553,6,1,0,1
51,31980.55,768,23,1,0,0
27,52725.83,722,13,0,0,0
38,26638.53,810,20,1,1,0
57,113678.73,590,5,0,0,0
31,50099.25,770,9,0,1,0
30,46093.48,754,1,1,0,0
42,108701.06,665,6,2,0,0
50,48629.04,649,5,1,0,0
40,59883.23,593,22,0,0,0
55,33678.03,572,4,0,0,1
50,24704.7,619,6,0,0,0
50,36127.85,579,0,2,1,1
46,146310.73,807,10,0,0,0
67,67272.75,559,3,0,1,0
37,56233.47,691,12,0,0,0
18,30085.94,714,0,1,2,0
59,77313.62,708,7,1,0,0
34,24863.43,715,0,1,0,1
41,22392.29,755,5,0,0,0
55,37069.75,644,6,1,2,0
20,130254.49,687,5,0,1,0
24,126620.17,656,5,0,0,0
20,39119.7,784,12,0,0,0
30,34992.9,847,18,2,1,0
45,21586.4,584,9,2,1,1
46,50971.17,517,3,0,0,0
43,53157.07,725,8,2,0,0
23,72749.56,765,6,0,0,0
18,77292.62,836,12,0,0,0
40,44413.07,739,9,0,0,0
34,64732.19,791,0,3,0,0
45,34533.34,812,13,2,0,0
48,64120.62,797,12,0,1,0
41,38039.64,750,15,1,0,0
49,61680.88,577,5,0,0,1
42,59233.98,679,9,1,2,0
46,50736.55,704,2,2,0,0
31,72931.06,672,7,0,0,0
37,22354.89,676,9,1,0,0
42,28783.05,805,4,0,0,0
49,42828.98,619,9,0,0,1
35,23822.08,743,8,0,0,0
46,39997.32,705,5,2,0,1
36,40647.18,611,14,0,1,0
38,94357.11,593,6,0,2,0
49,52641.86,543,8,0,0,1
18,82019.7,718,0,0,1,0
24,57001.76,674,10,2,1,1
22,37502.63,613,5,1,0,1
18,52410.3,529,12,2,0,1
31,70594.9,714,1,1,0,0
48,89027.51,666,10,1,1,0
36,45882.77,622,0,1,2,0
42,21509.39,602,11,0,2,0
53,20766.55,660,7,0,1,0
55,41639.05,717,9,1,0,1
39,15230.41,653,4,0,0,0
56,120276.94,584,3,0,0,0
41,66069.77,675,5,0,0,0
29,35673.61,763,8,0,2,0
32,28146.44,683,10,0,0,0
22,81965.98,685,9,0,1,0
29,28090.35,653,3,1,0,1
35,29462.89,608,17,0,1,1
49,33423.92,606,9,1,1,1
60,51898.42,547,4,1,0,1
23,66862.85,774,10,0,1,0
44,88995.06,716,9,1,0,0
27,82659.55,686,7,1,1,0
45,49039.77,703,6,0,0,0
38,81655.22,707,12,0,1,0
18,35048.92,621,16,0,1,0
51,19723.52,653,0,1,0,0
32,35046.62,642,14,0,1,0
33,32756.93,850,8,0,2,0
27,35739.31,761,9,1,0,0
32,30342.74,693,14,0,0,0
45,38927.07,789,0,0,0,1
37,66836.77,779,12,2,1,0
43,115569.64,569,14,0,1,0
44,20688.37,662,4,0,1,0
55,25748.53,678,1,1,0,1
35,33000.46,728,16,0,2,0
22,71888.45,662,0,1,0,0
52,44246.27,672,10,0,1,0
36,34130.46,643,13,2,1,0
53,70148.28,763,9,0,0,0
44,79078.41,564,10,0,0,0
38,48563.14,645,6,0,2,0
44,32594.22,532,10,2,0,1
63,56113.95,597,4,0,1,0
64,43624.14,705,5,0,0,0
40,43455.53,706,8,1,1,0
41,37941.47,654,0,1,0,1
52,77846.3,769,10,0,1,0
29,55544.52,788,0,2,0,0
43,82277.29,674,9,0,0,0
39,95622.47,700,10,0,1,0
43,61666.15,643,4,0,1,0
29,38054.0,730,1,0,1,0
20,82467.79,584,5,0,0,0
18,61872.58,823,11,1,0,0
26,180175.0,771,9,0,2,0
34,57242.47,584,2,1,1,0
36,69483.46,616,8,0,1,1
63,56682.0,713,9,1,0,0
53,46651.05,652,9,1,1,0
28,43070.96,723,3,1,1,0
44,56790.36,651,8,1,0,1
35,63613.94,801,12,1,0,0
36,87307.7,680,10,1,0,0
42,57206.64,850,10,0,2,0
47,38892.45,728,16,2,2,0
35,41629.86,572,8,1,0,1
52,25299.29,846,3,0,1,0
26,112488.57,767,3,0,1,0
40,37399.52,710,8,0,2,0
71,79516.53,731,0,0,1,1
42,56290.18,584,6,1,0,1
57,57060.42,535,10,0,2,0
41,46225.0,676,13,1,2,0
46,33060.7,790,0,4,1,1
39,30204.08,711,8,0,0,0
37,116335.4,816,7,2,1,0
30,51895.15,785,8,0,0,0
45,86045.7,681,8,0,1,1
29,97973.61,774,7,0,2,0
47,39917.76,801,14,1,0,0
53,60581.99,673,14,0,0,0
44,50136.54,662,18,0,0,0
36,27484.93,691,7,1,2,0
45,44679.05,487,5,1,1,0
36,65759.1,702,3,1,0,0
51,38195.97,737,5,0,2,0
18,41671.74,691,11,0,2,0
35,44950.47,707,12,0,2,0
18,140894.22,676,11,0,1,0
22,19593.94,520,4,1,1,1
56,62995.69,813,4,1,0,0
50,43188.54,650,17,0,0,0
31,35584.75,630,3,1,1,1
21,42661.93,788,15,1,0,0
18,68438.32,758,10,0,0,1
33,70422.06,701,4,1,0,1
69,53798.91,741,2,1,0,0
45,84657.64,587,4,0,0,0
33,92449.38,673,10,4,2,1
45,73731.69,783,3,1,0,0
21,37305.79,625,15,2,1,1
36,62769.26,600,6,0,1,0
41,62918.8,686,11,0,1,0
38,32603.81,688,11,2,0,0
49,22365.63,731,16,0,1,0
44,17829.54,569,5,2,2,1
48,50763.24,476,8,2,1,1
31,56898.25,753,0,1,0,0
50,27149.37,593,8,0,1,0
59,82703.41,631,13,0,1,1
28,52897.38,505,9,1,0,1
29,96252.12,761,19,1,1,0
56,58998.54,708,10,1,0,0
37,28762.66,704,5,0,0,0
56,61644.58,704,10,0,0,0
34,68531.95,515,0,1,0,0
57,37279.1,601,4,0,0,0
41,23836.03,643,1,2,2,1
43,51541.78,620,8,1,0,1
58,29720.06,658,7,0,0,0
35,85857.47,699,14,0,1,0
28,39991.08,760,7,0,1,0
34,116110.84,561,2,0,1,0
45,16948.26,679,15,1,2,0
21,52438.58,736,0,1,1,1
47,100177.24,606,8,1,1,1
33,31408.94,664,9,0,0,1
53,45269.99,717,7,0,1,0
18,40073.96,680,10,1,1,1
30,34825.88,733,8,1,0,0
19,55398.7,687,10,1,0,0
30,25649.75,655,4,1,0,0
42,46374.99,586,0,0,0,1
37,63449.34,699,7,0,0,0
36,44022.37,687,2,0,1,0
38,29729.58,600,4,1,1,0
42,82050.71,726,13,0,0,0
27,70624.22,781,15,0,0,0
48,29126.58,627,13,1,0,1
47,25666.61,621,12,1,1,0
44,30455.98,618,8,0,0,0
46,64385.04,545,13,0,2,0
43,56262.66,840,9,1,0,0
64,72768.71,644,17,0,1,0
38,41644.51,611,3,0,0,1
36,30872.86,589,11,0,1,0
30,77607.8,648,1,0,0,0
27,37170.69,624,11,0,1,1
25,53813.2,795,0,2,2,0
29,22584.92,580,1,0,2,0
39,36867.84,556,1,0,2,0
44,81202.24,724,9,1,0,1
40,34264.42,671,9,0,0,0
30,73662.7,662,20,1,2,0
50,15282.9,724,7,0,2,0
48,37060.4,690,11,1,0,0
38,44995.72,676,8,0,0,0
32,117156.99,567,11,1,0,0
46,27322.57,546,8,0,0,0
42,68562.2,623,13,1,0,0
22,83155.36,593,2,1,1,1
39,34175.19,701,0,0,0,0
43,40669.68,536,10,2,0,1
29,52618.04,644,0,1,0,0
42,23371.15,666,14,3,0,1
22,39044.15,676,5,1,1,1
56,92786.46,711,2,0,0,0
54,63661.0,653,21,0,2,0
36,45325.47,626,7,2,0,0
44,51872.09,779,6,0,1,0
18,65542.41,654,11,1,0,0
26,72128.54,793,12,0,1,0
36,37115.61,653,13,1,1,0
27,105594.38,678,1,0,0,1
48,94672.05,668,10,0,1,0
63,68777.29,698,6,0,1,0
25,32161.33,646,3,0,0,0
29,29433.48,687,8,1,1,0
42,41635.07,802,0,0,1,0
59,50533.03,763,12,0,1,0
25,20246.84,764,6,0,0,0
42,62777.16,572,5,2,1,1
61,93314.53,585,7,0,2,1
20,65397.35,697,7,0,1,0
24,34960.48,741,13,0,0,0
34,32951.71,638,2,1,0,0
33,56949.84,624,6,3,0,0
49,45403.67,791,6,1,0,0
42,61176.63,734,2,1,0,0
18,66228.14,764,8,1,0,1
46,84621.64,644,4,1,2,0
33,27831.9,638,0,0,1,0
55,54765.16,755,10,0,0,0
32,40874.53,658,15,0,0,0
32,46661.86,631,8,0,1,0
46,75523.9,606,7,1,0,0
49,79742.9,639,7,1,0,1
45,98638.98,750,5,2,2,0
19,60645.16,559,13,2,1,1
46,46397.07,730,8,0,2,0
27,43198.49,623,0,2,1,0
42,20591.27,663,13,0,1,0
22,95785.59,668,12,0,1,0
45,41733.14,662,11,0,1,0
30,63129.82,657,0,0,0,0
24,68837.11,644,7,2,0,1
48,26300.47,634,12,0,1,0
42,30894.29,785,9,1,0,0
32,106245.74,682,9,2,1,0
57,56682.33,669,12,0,1,0
34,36669.74,628,8,0,2,1
40,46019.78,647,14,1,0,0
43,84382.76,628,8,2,0,0
32,78210.35,741,8,0,0,0
45,23551.84,619,12,1,0,0
33,110984.07,500,6,0,0,0
35,79465.16,684,2,1,0,1
56,45422.48,657,8,1,1,0
27,27014.76,633,10,2,0,0
18,83033.91,752,12,3,2,0
59,62206.44,461,12,0,0,0
70,23649.58,806,7,0,0,0
35,43650.1,764,7,0,2,0
18,234002.36,629,5,1,1,1
36,49426.94,643,9,0,0,1
36,33827.0,720,0,2,0,1
37,29606.57,722,8,0,0,0
26,118901.36,629,22,2,1,0
46,74897.8,550,0,0,1,0
46,99083.63,849,8,1,2,0
22,55497.47,756,9,1,0,0
48,91767.15,692,10,0,0,0
64,32075.24,694,3,0,0,0
42,53172.44,729,10,1,2,0
35,56586.56,739,5,1,2,0
38,97853.18,513,0,1,0,0
47,57493.17,651,12,0,0,0
19,35855.21,643,11,1,1,1
41,50616.7,667,3,0,0,1
35,21200.78,741,5,0,2,0
62,15359.9,536,5,2,1,1
37,74285.47,572,0,0,1,0
60,40644.88,625,11,0,1,1
26,43014.45,692,11,0,0,0
47,74270.81,746,6,2,0,0
43,98568.32,810,7,0,2,0
29,64038.77,657,8,0,0,0
42,128545.27,746,9,1,0,0
54,63028.64,736,1,1,1,0
36,57017.11,723,10,0,0,1
19,55281.55,678,2,1,1,0
39,25777.37,648,11,0,1,0
29,79062.92,594,2,2,0,0
35,14432.92,589,1,1,0,0
39,36565.98,707,7,0,0,0
19,49586.07,675,7,0,0,0
20,33028.26,646,8,0,0,0
45,39109.55,733,3,0,2,1
33,122969.03,663,9,1,2,0
18,85136.57,606,9,0,0,0
49,34790.03,658,13,2,1,0
43,38762.82,745,8,0,0,0
31,25887.05,598,5,0,0,0
24,69737.74,696,1,1,2,1
50,43266.28,675,0,2,0,0
44,18338.66,619,9,1,2,1
68,51554.35,656,11,0,0,0
45,61052.5,554,3,0,1,0
44,79345.78,688,9,1,2,0
37,47255.42,570,7,0,1,1
49,40687.02,765,11,1,1,0
47,132340.36,672,12,1,0,0
55,49182.5,634,0,0,1,0
33,70247.56,772,13,0,0,0
34,37430.09,597,9,1,0,0
34,69213.75,620,5,0,0,0
49,23675.25,533,5,1,1,0
57,38908.43,784,8,0,1,0
34,26792.11,829,5,0,0,0
34,36225.31,546,3,2,1,1
43,91604.44,614,4,1,0,0
37,36092.38,685,2,0,1,0
51,70201.72,638,14,0,2,0
18,104676.78,677,8,2,0,0
30,48349.51,670,19,0,1,0
30,80570.15,712,9,1,2,0
18,63929.93,603,10,0,1,0
28,51959.43,695,2,4,2,0
29,71336.1,590,6,0,0,1
37,123003.62,647,8,1,0,1
53,35645.05,541,4,0,1,0
37,30345.38,647,5,0,0,0
27,29467.48,634,10,1,0,0
39,80596.78,755,10,1,0,0
52,86222.27,675,1,0,1,0
28,37476.96,689,9,2,1,0
29,16848.1,678,10,0,1,0
46,34983.14,509,5,1,2,0
37,64468.18,520,4,0,1,1
47,47412.37,654,10,1,1,1
39,53646.63,702,0,0,0,1
48,37734.41,661,8,0,2,0
27,81393.0,610,16,0,2,0
39,58197.4,660,0,0,2,0
37,65724.81,653,12,0,2,0
25,53078.8,742,10,2,1,0
21,63715.56,737,0,1,0,0
48,61653.53,635,10,0,2,0
35,30821.34,676,13,1,0,0
27,59073.14,702,2,3,2,0
38,72820.59,713,4,0,1,0
53,87340.6,812,8,0,0,0
18,60358.29,677,12,1,0,1
22,30253.73,773,5,0,0,0
28,32674.21,587,7,2,1,0
57,39435.67,628,4,0,1,0
43,53891.71,509,8,2,0,1
49,46114.46,692,13,0,0,0
26,27948.92,731,8,0,0,0
26,27865.37,475,6,0,0,1
45,17166.91,695,7,3,1,0
40,10303.74,728,3,0,1,0
46,45894.89,723,3,1,0,0
37,156391.1,584,14,0,1,0
43,120377.72,741,16,1,2,0
41,30058.01,680,0,1,1,0
49,52836.19,727,10,0,0,0
49,23569.53,669,12,1,1,1
20,25436.62,710,1,0,0,0
18,26937.21,768,5,2,0,1
52,43793.94,663,5,1,0,0
54,44746.58,702,17,1,0,0
27,55622.94,779,16,0,1,0
18,68296.12,669,3,0,1,0
41,41421.67,589,0,2,0,1
51,49916.21,734,11,1,0,0
61,28370.18,794,10,0,0,0
46,25028.03,783,14,0,2,0
35,23167.69,737,2,1,0,0
29,67820.78,492,11,0,0,1
40,41400.41,629,4,1,2,0
36,19234.1,633,11,0,0,0
27,47498.6,683,7,2,0,0
64,26254.41,815,17,0,2,0
61,112441.62,593,10,1,0,0
53,36702.1,850,6,1,0,0
28,68923.54,649,8,1,0,0
50,84497.86,618,7,0,0,0
47,30410.27,747,2,1,2,0
45,50920.64,753,17,2,1,0
54,64649.39,731,15,0,1,0
47,51936.29,618,7,1,0,0
48,58720.86,720,11,0,0,0
47,25214.77,597,18,0,2,0
44,64667.76,616,14,1,0,0
18,38442.46,672,6,0,0,0
41,58379.82,614,7,0,0,0
33,77652.14,764,0,0,1,0
24,68487.34,633,11,1,2,1
60,58358.47,662,14,1,0,0
60,67579.78,609,14,1,0,1
56,69161.91,763,11,0,1,0
43,103543.86,626,9,0,0,0
56,48193.27,771,3,2,0,0
40,53208.77,765,9,0,0,0
42,78122.5,644,4,0,0,0
26,38361.37,682,10,0,0,0
44,25143.79,642,4,1,1,1
40,62731.26,723,10,0,0,1
24,44222.46,664,14,1,0,1
39,26802.12,646,9,0,1,0
39,62961.01,683,9,0,1,0
61,100264.45,553,12,3,1,1
50,21701.33,673,16,0,0,0
40,81728.86,731,7,0,0,0
42,13786.79,691,10,0,0,0
40,40129.09,756,15,0,1,0
37,123039.16,649,11,1,0,0
27,41599.27,643,0,0,1,0
38,51275.54,590,4,0,1,1
31,71785.16,647,11,2,0,0
24,20780.35,837,5,0,1,0
46,50820.11,702,15,2,1,0
44,50620.23,633,17,1,0,0
18,124387.94,599,5,2,1,1
38,26426.69,552,2,0,1,0
51,40507.01,613,6,0,1,1
52,30817.01,740,5,1,0,0
52,29225.42,645,15,2,1,0
40,86137.61,603,2,1,0,0
29,49678.41,612,11,0,0,0
26,37131.33,731,14,0,0,0
44,37838.3,673,12,1,2,0
44,36989.39,629,10,0,0,0
55,38680.79,655,7,1,1,0
53,26050.11,850,17,1,0,0
38,43072.29,777,6,1,1,0
25,40961.86,797,12,0,0,0
36,33560.39,539,7,2,0,1
42,52972.23,667,0,0,0,0
37,55267.74,628,6,2,0,1
33,37111.29,723,7,0,1,0
43,45612.31,764,7,0,1,0
33,144251.25,706,4,1,1,0
32,141522.87,610,11,0,0,1
43,28939.27,627,11,1,1,1
35,31032.06,729,6,0,0,0
42,28862.5,737,6,2,2,1
43,83160.43,691,2,0,0,0
26,40164.36,690,9,2,1,0
